Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
A0A077ZCN4,58,,Homeobox domain containing protein,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2T7P8G5,57,,Homeobox domain-containing protein,Pomacea canaliculata (Golden apple snail),400727,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1Y3BHK8,49,,Homeobox domain-containing protein,Euroglyphus maynei (Mayne's house dust mite),6958,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3P8A6F4,57,,Homeobox domain-containing protein,Soboliphyme baturini,241478,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1G5S2,57,20216419,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
J9MAP0,58,100573073,Homeobox domain-containing protein,Acyrthosiphon pisum (Pea aphid),7029,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A016UV00,58,,Homeobox domain protein,Ancylostoma ceylanicum,53326,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0N4XY11,58,,C15 (inferred by orthology to a D. melanogaster protein),Nippostrongylus brasiliensis (Rat hookworm),27835,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
W2TI82,46,25349012,Homeobox domain protein,Necator americanus (Human hookworm),51031,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4V6I7R8,58,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0M3JT56,58,,C15 (inferred by orthology to a D. melanogaster protein),Anisakis simplex (Herring worm),6269,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0N4UNJ1,58,,Homeobox domain-containing protein,Dracunculus medinensis (Guinea worm),318479,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3P7JIA8,56,,Homeobox domain-containing protein,Strongylus vulgaris (Blood worm),40348,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6G0V3C1,57,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, sodium channel activity","DNA-binding, Ion channel, Sodium channel",nan,"Ion transport, Sodium transport, Transport","Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A5K4F667,58,,Homeobox domain-containing protein,Schistosoma mansoni (Blood fluke),6183,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0N4UW07,56,,Homeobox domain-containing protein,Enterobius vermicularis (Human pinworm),51028,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
H3FBN6,58,,Homeobox domain-containing protein,Pristionchus pacificus (Parasitic nematode),54126,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P4SUX8,45,,Uncharacterized protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2I0UBY3,58,,Homeobox protein vent1-like,Limosa lapponica baueri,1758121,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2G9R7G5,58,,Homeobox domain-containing protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
M7BY55,58,,Homeobox protein vent1B,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3M0KFZ5,58,,Homeobox domain-containing protein,Hirundo rustica rustica,333673,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
M7CBS0,44,,Homeobox protein vent1B,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A401PFG9,58,,Homeobox domain-containing protein,Scyliorhinus torazame (Cloudy catshark),75743,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
Q9DGM9,58,64810,Homeobox protein Vega2,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"dorsal/ventral pattern formation, regulation of endodermal cell fate specification, regulation of mesodermal cell fate specification, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
Q9DGM8,58,,Ventral homeobox,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, protein heterodimerization activity, protein homodimerization activity, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"dorsal/ventral pattern formation, regulation of endodermal cell fate specification, regulation of mesodermal cell fate specification, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4Z2EWV5,58,,Homeobox protein vent1,Liparis tanakae (Tanaka's snailfish),230148,DNA binding,"Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
F1R2J1,58,352939,Homeobox protein pnx,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","Developmental protein, DNA-binding, Repressor","cell differentiation, negative regulation of transcription, DNA-templated, regulation of neurogenesis, regulation of transcription by RNA polymerase II","Neurogenesis, Transcription, Transcription regulation",Nucleus,nan,nan,nan,Reference proteome,nan
A0A4Z2FM79,58,,Homeobox protein ceh-1,Liparis tanakae (Tanaka's snailfish),230148,DNA binding,"Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
O95231,57,27287,Homeobox protein VENTX,Homo sapiens (Human),9606,"DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding, sequence-specific double-stranded DNA binding","Developmental protein, DNA-binding","multicellular organism development, positive regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II, regulation of transcription initiation from RNA polymerase II promoter",nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A7RNQ9,58,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2B4RZH8,57,,Homeobox protein HMX3,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2B4RX69,57,,Synaptosomal-associated protein,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A2G9RK79,57,,Homeobox domain-containing protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2G9RID9,57,,Homeobox domain-containing protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P4SGS6,57,,Homeobox domain-containing protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
R7U8W4,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
R7UGR6,58,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
V4AEW6,58,20252805,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2T7PBZ9,58,,Homeobox domain-containing protein,Pomacea canaliculata (Golden apple snail),400727,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A158NGA6,58,105619654,Homeobox domain-containing protein,Atta cephalotes (Leafcutter ant),12957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A077Z3N0,58,,Homeobox protein MSX-2,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4S2LP40,58,,Homeobox domain-containing protein,Opisthorchis felineus,147828,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A553PID2,58,,Homeobox domain-containing protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4X3PB30,58,,Vab-15,Pristionchus pacificus (Parasitic nematode),54126,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6A4VB78,58,,Homeobox protein MSX-2,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1KIE6,58,,Homeobox domain-containing protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1KLE5,58,107365327,Homeobox domain-containing protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A5N5TJ22,58,,Homeobox protein MSH-A,Armadillidium nasatum,96803,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3R7PRW7,58,,Msx1 protein,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1V9XWW2,58,,Homeobox domain-containing protein,Tropilaelaps mercedesae,418985,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
F6S3B3,58,,Homeobox domain-containing protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",DNA-binding,"embryonic morphogenesis, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4Z2ICH7,58,,Homeobox protein MSX-2,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,"Transcription, Transcription regulation",Nucleus,nan,nan,nan,Reference proteome,nan
A0A131ZSQ0,50,,Homeobox protein 1,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A183CU79,50,,Homeobox domain-containing protein,Gongylonema pulchrum,637853,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2A2L4Y0,51,,Homeobox domain-containing protein,Diploscapter pachys,2018661,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A553PID8,58,,Homeobox domain-containing protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P8XPN8,47,,Homeobox protein H17,Blattella germanica (German cockroach) (Blatta germanica),6973,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4U8UV48,50,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1X7VMJ1,58,,Homeobox domain-containing protein,Amphimedon queenslandica (Sponge),400682,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
H9JY96,58,,Homeobox domain-containing protein,Bombyx mori (Silk moth),7091,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
E4X3Z8,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A177B3W2,58,,Homeobox protein H17,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
